internal_sku,catalog_status,review_reason,review_flag,supplier_part_number,supplier_code_family,raw_description,normalized_part_name,brand_bike,primary_family,fitment_models,variant_tokens,side,net_rate_rs,sku_seed
ACT-VRPL-110,review,sku_collision,no,FCCHACTG2109,FCCHACT,FCC VARIATOR PLATE ACTIVA 110 CC HET/3G/4G,Variator Plate,HONDA,ACTIVA,Activa 110,HET|3G|4G|110,,198.25,ACTIVA-VARIATOR
SHI-FCCC-CBSH,review,sku_collision,no,FCCHCBS125HUB,FCCHCBS,FCC CLUTCH HUB CB SHINE,Fcc Clutch Hub,HONDA,SHINE,CB Shine|Shine,,,173.40,SHINE-FCCCLUTC
SHI-FCCC-CBSH,review,sku_collision,no,FCCHCBS125PP,FCCHCBS,FCC CLUTCH STEEL PLATE CB SHINE,Fcc Clutch Steel,HONDA,SHINE,CB Shine|Shine,,,84.96,SHINE-FCCCLUTC
CDD-FCCI,review,mixed_fitment_families,yes,FCCHESPL100G,FCCHESPL,FCC INNER ASSEMBLIES SPL/CD DAWN/PASSION/C,Fcc Inner Assemblies,HERO,CDDAWN,CD Dawn|Passion,,,470.00,CDDAWN-FCCINNER
ACT-FLOR-NM3G4G5G-WHT,review,many_fitments,yes,FLOR-02,FLOR,FLOR ACTIVA N/M/3G/4G/5G WHITE (2 KG),Flor Activa N/M/3G/4G/5G,HONDA,ACTIVA,Activa New Model|Activa 3G|Activa 4G|Activa 5G,N/M|3G|4G|5G,,750.00,ACTIVA-FLORACTI
ACT-VRPL-110,review,sku_collision,no,FMDTP014,FMDTP,VARIATOR PLATE ACTIVA 110 CC HET/3G/4G/5G,Variator Plate,HONDA,ACTIVA,Activa 110,HET|3G|4G|5G|110,,185.60,ACTIVA-VARIATOR
WEG-VRPL,review,mixed_fitment_families,yes,FMDTP031,FMDTP,VARIATOR PLATE WEGO/JUPITER,Variator Plate,TVS,WEGO,Wego|Jupiter,,,214.02,WEGO-VARIATOR
UNI-ENGO,review,primary_family_review|generic_brand_only,yes,GENUINE OIL01,GENUINE,ENGINE OIL (BASE OIL),Engine Oil,UNIVERSAL/OTHER,UNIVERSAL,,,,75.87,UNIVERSAL-ENGOIL
UNI-ENGO,review,primary_family_review|generic_brand_only,yes,GENUINE OIL03,GENUINE,ENGINE OIL (BASE OIL),Engine Oil,UNIVERSAL/OTHER,UNIVERSAL,,,,74.00,UNIVERSAL-ENGOIL
UNI-ENGO,review,primary_family_review|generic_brand_only,yes,GENUINE01,GENUINE,GENUINE ENGINE OIL 900 ML,Engine Oil,UNIVERSAL/OTHER,UNIVERSAL,,,,130.00,UNIVERSAL-ENGOIL
UNI-SHKR,review,primary_family_review|generic_brand_only,yes,GENUINE02,GENUINE,GENUINE SHOCKER OIL 175ML,Shocker,UNIVERSAL/OTHER,UNIVERSAL,,,,30.00,UNIVERSAL-SHOCKER
UNI-GROI,review,primary_family_review|generic_brand_only,yes,GENUINE03,GENUINE,GENUINE GEAR OIL 100 ML,Gear Oil,UNIVERSAL/OTHER,UNIVERSAL,,,,22.00,UNIVERSAL-GEAROIL
UNI-GRSE,review,primary_family_review|generic_brand_only,yes,GENUINE04,GENUINE,GENUINE GREASE 500GM (WHITE),Grease,UNIVERSAL/OTHER,UNIVERSAL,,,,97.00,UNIVERSAL-GREASE
UNI-GRSE,review,primary_family_review|generic_brand_only,yes,GENUINE04A,GENUINE,GENUINE GREASE 500GM (RED GELL),Grease,UNIVERSAL/OTHER,UNIVERSAL,,,,105.00,UNIVERSAL-GREASE
ACT-BELT,review,mixed_fitment_families|many_fitments,yes,HA4S001K4,HA,BANDO BELTS ACTIVA/PLEASURE/DIO/MAESTRO,Drive Belt,HONDA,ACTIVA,Activa|Pleasure|Dio|Maestro,O/M,,140.00,ACTIVA-BELT
AVI-BELT-NM,review,mixed_fitment_families,yes,HNA45008K4,HNA,BANDO BELTS ACTIVA N/M/AVIATOR N/M ALL HET MODEL,Drive Belt,HONDA,AVIATOR,Activa New Model|Aviator New Model|Aviator,N/M|HET,,152.00,AVIATOR-BELT
SHI-COUP,review,mixed_fitment_families,yes,HS03,HS,COUPLING RUBBER SHINE/YUGA/STUNER (STEELBIRD),Coupling Rubber Shine/Yuga/Stuner,HONDA,SHINE,Shine|Dream Yuga,,,49.00,SHINE-COUPLING
FZ-FKSL-FRONT,review,mixed_fitment_families,yes,HTA7705,HTA,FRONT FORK SEAL FZ/THUNDERBIRD 350,Fork Seal,ROYAL ENFIELD,FZ,FZ|Thunderbird,,FRONT,47.57,FZ-FORKSEAL-FRONT
SHI-SKIT,review,mixed_fitment_families,yes,HTAKIT-39,HTAKIT,ENGINE OIL SEAL KIT SHINE/UNICORN,Seal Kit,HONDA,SHINE,Shine|Unicorn,,,42.00,SHINE-SEALKIT
CDD-SEAL-PRO,review,mixed_fitment_families,yes,HTAKIT-64,HTAKIT,MAGNET SEAL WITH O RING CD DLX/PASS PRO,Seal,HERO,CDDELUXE,CD Deluxe|Passion Pro,,,54.27,CDDELUXE-SEAL
CDD-IGNC-PRO,review,mixed_fitment_families,yes,ICA-521,ICA,IGNITION COIL CD DLX/HF DLX/SPL PRO/PASS PRC,Ignition Coil,HERO,CDDELUXE,CD Deluxe|HF Deluxe|Splendor Pro,,,189.15,CDDELUXE-IGNCOIL
ACT-IGNC-OM,review,mixed_fitment_families,yes,ICA-604,ICA,IGNITION COIL ACTIVA O/M/DIO/ETERNO/AVIATO,Ignition Coil,HONDA,ACTIVA,Activa Old Model|Dio,O/M,,127.40,ACTIVA-IGNCOIL
PUL-CHKT,review,sku_collision,no,KITBSOK146,KITBSOK,CHAIN KIT PULSAR 180CC UG4,Chain Kit,BAJAJ,PULSAR,Pulsar 180|Pulsar,,,1040.52,PULSAR-CHAINKIT
CDD-CHKT-ISMPLUS,review,mixed_fitment_families,yes,KITDL500,KITDL,CHAIN KIT PASSION PLUS A.W/CD DLX/SPL NXG/I SMART,Chain Kit,HERO,CDDELUXE,CD Deluxe|Splendor iSmart|Passion Plus,,,528.50,CDDELUXE-CHAINKIT
PUL-CHKT,review,sku_collision,no,KITNORF405,KITNORF,CHAIN KIT PULSAR N 160,Chain Kit,BAJAJ,PULSAR,Pulsar N160|Pulsar,,,1062.60,PULSAR-CHAINKIT
FZ-CHAS,review,mixed_fitment_families,yes,KITNXR143,KITNXR,CHASE KIT FZ16/FZS/FAZER 150CC,Chase Kit Fz16/Fzs/Fazer,YAMAHA,FZ,Fazer|FZ-16|FZ,,,1066.74,FZ-CHASEKIT
ACT-BSHO-NMSUP,review,mixed_fitment_families,yes,MKBS4202,MKBS,MK BRAKE SHOE ACTIVA N/M/SUP SPL,Brake Shoe,HONDA,ACTIVA,Activa New Model|Super Splendor,N/M,,87.50,ACTIVA-BRAKESHOE
UNI-NIKK,review,primary_family_review|generic_brand_only|sku_collision,yes,NA17,NA,NIKKO HORN SMALL,Nikko Horn Small,UNIVERSAL/OTHER,UNIVERSAL,,,,98.00,UNIVERSAL-NIKKOHOR
UNI-NIKK,review,primary_family_review|generic_brand_only|sku_collision,yes,NADI,NADI,NIKKO HORN BIG,Nikko Horn Big,UNIVERSAL/OTHER,UNIVERSAL,,,,116.00,UNIVERSAL-NIKKOHOR
UNI-LEGG,review,primary_family_review|generic_brand_only,yes,NEXA-10,NEXA,LEGGUARD,Legguard,UNIVERSAL/OTHER,UNIVERSAL,,,,107.81,UNIVERSAL-LEGGUARD
ACT-RIM-OM,review,mixed_fitment_families,yes,NX-3701A,NX,WHEEL RIM ACTIVA O/M/PLEASURE,Wheel Rim,HONDA,ACTIVA,Activa Old Model|Pleasure,O/M,,370.00,ACTIVA-RIM
ACT-BNDX,review,mixed_fitment_families,yes,OXY ALL08,OXY,SELF BENDEX ACTIVA ALL/ACCESS ALL,Self Bendex,UNIVERSAL/OTHER,ACTIVA,Activa|Access,,,220.00,ACTIVA-BENDEX
UNI-LEDB,review,primary_family_review|generic_brand_only,yes,OXY LED65,OXY,LED BULB OXY 65W / LED BULB OXY 12V 2500LM,Led Bulb Oxy,UNIVERSAL/OTHER,UNIVERSAL,,,,420.00,UNIVERSAL-LEDBULBO
UNI-COLO,review,primary_family_review|generic_brand_only,yes,PAINT,PAINT,COLOUR SPREY PAINT,Colour Sprey Paint,UNIVERSAL/OTHER,UNIVERSAL,,,,22.65,UNIVERSAL-COLOURSP
UNI-CHAI,review,primary_family_review|generic_brand_only,yes,ROLONLUBE150,ROLONLUBE,CHAIN LUBE 150 ML,Chain Lube 150,UNIVERSAL/OTHER,UNIVERSAL,,,,113.60,UNIVERSAL-CHAINLUB
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,RT-6201RS(RC),RT,BALL BEARINGS 6201RS KIT (RC) GARE BS6,Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,BS6,,73.30,UNIVERSAL-BEARING
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,RT-6203RS(RC),RT,BALL BEARINGS 6203RS KIT (RC),Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,,,104.44,UNIVERSAL-BEARING
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,RT-6204RS(RC),RT,BALL BEARINGS 6204RS KIT (RC) GARE BS6,Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,BS6,,146.62,UNIVERSAL-BEARING
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,RT-6301RS(RC),RT,BALL BEARINGS 6301RS KIT (RC),Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,,,65.00,UNIVERSAL-BEARING
HNK-TMCH,review,mixed_fitment_families,yes,SL5234-94-2,SL,T.CHAIN CEZ EXTRIM/UNICORN/HUNK,Timing Chain,UNIVERSAL/OTHER,HUNK,Hunk|Unicorn,,,195.30,HUNK-TCHAIN
HNK-TMCH,review,mixed_fitment_families,yes,SL623N-94-2,SL,T.CHAIN CBZ EXTRIM/UNICORN/HUNK,Timing Chain,UNIVERSAL/OTHER,HUNK,Hunk|Unicorn,,,233.80,HUNK-TCHAIN
PAS-LOCK-SUP,review,mixed_fitment_families,yes,SLD179,SLD,SLD LOCK SET PASSION/PLUS/SUP SPL (SET 4),Lock Set,HERO,PASSION,Passion|Super Splendor,,,434.40,PASSION-LOCKSET
SPL-IGSW-PRO,review,mixed_fitment_families,yes,SLD232/372A,SLD,SLD IGNITION SWITCH SPL PRO/PASS PRO/PASS X,Ignition Switch,HERO,SPLENDOR,Splendor Pro|Passion Pro,,,280.32,SPLENDOR-IGSWITCH
CDD-SLDP,review,mixed_fitment_families,yes,SLD26,SLD,SLD PETROL TANK LOCK PASSION/SLEEK/CBZ/CD DAWN,Sld Petrol Tank,HERO,CDDAWN,CD Dawn|Passion,,,225.06,CDDAWN-SLDPETRO
SHI-IGSW-CBSH,review,mixed_fitment_families,yes,SLD379/379A,SLD,SLD IGNITION SWITCH CB SHINE/YUGA/NEO (FEMALE),Ignition Switch,HONDA,SHINE,CB Shine|Shine|Dream Yuga,,,280.96,SHINE-IGSWITCH
ACT-BNDX,review,mixed_fitment_families,yes,SPG001,SPG,SELF BENDEX ACTIVA ALL/ACCESS ALL,Self Bendex,UNIVERSAL/OTHER,ACTIVA,Activa|Access,,,398.46,ACTIVA-BENDEX
ACT-SLFR-PRO,review,mixed_fitment_families,yes,SRA-002,SRA,SELF RELAY PASSION PRO/ACTIVA/DUET/HF DLX/M,Self Relay,UNIVERSAL/OTHER,ACTIVA,Activa|HF Deluxe|Passion Pro,,,96.00,ACTIVA-SELFRELY
DSC-SLFR,review,,no,SRA-042,SRA,SELF RELAY DISCOVER ALL MODEL,Self Relay,BAJAJ,DISCOVER,Discover,,,171.00,DISCOVER-SELFRELY
CDD-FRFE-PRO-BLK,review,mixed_fitment_families,yes,SSFM-04A,SSFM,FR.FE CD DLX N/M/SPL PRO/NXG BLACK,Fr.Fe Cd Dlx,HERO,CDDELUXE,CD Deluxe|Splendor Pro,N/M,,150.00,CDDELUXE-FRFECDDL
HER-COSP-BLK,review,slash_fitment_unclear,yes,SSSP-70A,SSSP,SÍ.CO SPL I3S BLACK/GREY (BS6),.Co Spl I3S,HERO,HERO,,BS6,,234.00,HERO-COSPLI3S
SPL-TACO-PLUS-BLK,review,sku_collision,no,SSTP-028,SSTP,TA.CO SPL+ N/M BLACK/SILVER,Ta.Co Spl+ N/M,HERO,SPLENDOR,Splendor Plus,N/M,,191.10,SPLENDOR-TACOSPLN
SPL-TACO-PLUS-BLK,review,sku_collision,no,SSTP-02B,SSTP,TA.CO SPL+ N/M BLACK/SILVER,Ta.Co Spl+ N/M,HERO,SPLENDOR,Splendor Plus,N/M,,175.50,SPLENDOR-TACOSPLN
SPL-TACO-PLUS-BLK,review,sku_collision,no,SSTP-42A,SSTP,TA.CO SPL + N/M BLACK/GREY (SHORT PLATE),Ta.Co Spl N/M,HERO,SPLENDOR,Splendor Plus,N/M,,258.50,SPLENDOR-TACOSPLN
ACT-BRSW-FRONT,review,sku_collision,no,SW0505AG,SW,MINDA FRONT BRAKE SWITCH ACTIVA/N/M/MAES,Brake Switch,HONDA,ACTIVA,Activa,N/M,FRONT,28.70,ACTIVA-BRKSWTCH-FRONT
SPL-BRSW-PLUS-FRONT,review,mixed_fitment_families,yes,SW0505BA,SW,MINDA FRONT BRAKE SWITCH SPL+/PAS+/GLAMO,Brake Switch,HERO,SPLENDOR,Splendor Plus|Passion Plus,,FRONT,28.00,SPLENDOR-BRKSWTCH-FRONT
ACT-BRSW-FRONT,review,sku_collision,no,SW0505CQM01,SW,MINDA FRONT & REAR BRAKE SWITCH ACTIVA AL,Brake Switch,HONDA,ACTIVA,Activa,,FRONT,19.60,ACTIVA-BRKSWTCH-FRONT
UNI-HBSW,review,primary_family_review|generic_brand_only,yes,SW0686Z,SW,HBS UNIVERSAL EXTRA SWITCH,Handle Bar Switch,UNIVERSAL/OTHER,UNIVERSAL,,,,51.80,UNIVERSAL-HBSWITCH
ACT-RIM-NM,review,mixed_fitment_families,yes,USHA05,USHA,WHEEL RIM ACTIVA N/M / MAESTRO (17) (USHA),Wheel Rim,HONDA,ACTIVA,Activa New Model|Maestro,N/M,,405.00,ACTIVA-RIM
ACT-RIM-OM,review,mixed_fitment_families,yes,USHA06,USHA,WHEEL RIM ACTIVA O/M/PLEASURE (USHA) HEAV,Wheel Rim,HONDA,ACTIVA,Activa Old Model|Pleasure,O/M,,425.00,ACTIVA-RIM
ACT-RIM-6GNM,review,mixed_fitment_families,yes,USHA07,USHA,WHEEL RIM ACCESS N/M /ACTIVA 6G/AVIATOR N,Wheel Rim,SUZUKI,ACTIVA,Activa 6G|Access New Model|Aviator,N/M,,425.00,ACTIVA-RIM
